name,sector,entityType,founded,dualUse,prioritySignal,evidence,source,sourceUrl
NewRocket,Defense & National Security,Private startup,2014,Yes,Yes,"NewRocket is an Israeli propulsion company developing PowerGel, a non-toxic, storable, throttleable gel bi-propellant and the rocket engines that burn it, positioned as a green replacement for hydrazine-class propulsion in satellites, orbital tugs, landers, and defense missions.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-newrocket",
Sentaya AI,Defense & National Security,Private startup,2024,Yes,Yes,Sentaya AI is an Israeli startup building AI-native video and sensor-data compression designed for mission-critical systems where conventional codecs fail under tactical latency and robustness constraints.,"Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-sentaya-ai",
Skana Robotics,Defense & National Security,Private startup,2023,Yes,Yes,"Israeli autonomous maritime systems startup developing scalable, software-defined unmanned surface and underwater vessels designed for distributed naval operations, ISR, anti-submarine warfare, and critical infrastructure protection.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-skana-robotics",
Skyforce Ltd,Defense & National Security,Private startup,2025,Yes,Yes,"Skyforce is an Israeli autonomous systems startup founded in 2025 that develops fully autonomous, AI-powered multi-platform operations using edge computing agents, enabling distributed decision-making without centralized control for both defense and dual-use applications.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-skyforce-ltd",
SpherePoint,Defense & National Security,Private startup,,Yes,Yes,SpherePoint is an Israeli deep-tech startup developing integrated sensing-and-communication systems for military and civilian operations in signal-denied or congested environments.,"Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-spherepoint",
StemRad,Defense & National Security,Private startup,2012,Yes,Yes,"StemRad develops advanced selective radiation protection systems for space exploration, military forces, first responders, and critical infrastructure workers, utilizing biomechanical shielding focused on stem cell-rich organs to provide life-saving protection while maintaining operational mobility.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-stemrad",
Terralog Innovation,Defense & National Security,Private startup,2017,Yes,Yes,"Terralog Innovation is an Israeli sensing and systems-integrator startup building physically oriented intelligence (PhysInt) solutions around underground mapping, ISR hardware, and sensor-software packages for tactical and infrastructure operations.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-terralog-innovation",
Traysar,Defense & National Security,Private startup,2024,Yes,Yes,"Traysar is an Israeli-founded, Austin-based defense-technology company building autonomous robotic platforms for the 'subterra' domain—systems that navigate, map, breach, and secure tunnels, bunkers, and deeply buried facilities beneath the Earth's surface.","Claw & Talon Israeli Startup Database, https://clawandtalon.capital/startup-traysar",
CyberArk,Cybersecurity,Acquired asset,1999,Yes,No,"CORRECTED 16 Jul 2026: no longer an independent public company. ACQUIRED BY PALO ALTO NETWORKS for ~$25B, deal COMPLETED 11 Feb 2026 (CyberArk holders received $45.00 cash + 2.2005 PANW shares per share). The ticker Nasdaq: CYBR no longer trades. Israeli identity-security leader (privileged access management), founded 1999. The previous entry described it as 'largest Israeli tech company by market cap (~$22B, Nasdaq: CYBR)' -- stale by five months and wrong on the central fact. STRATEGIC READ: this is Andy's own thesis proven -- Israeli talent absorbed by American distribution. The CyberArk team now sits inside Palo Alto Networks, which makes PANW a B2B network node, not CyberArk.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://www.paloaltonetworks.com/company/press/2026/palo-alto-networks-completes-acquisition-of-cyberark
Check Point Software,Cybersecurity,Public company,1993,Yes,No,"Original Israeli cybersecurity giant (~$19B, Nasdaq: CHKP), 30+ year pedigree in network security/firewalls. Very large, English-speaking, globally-operating employer — a top-tier host for a BFT technical intern. (Note: also referenced in the Organizations tab.)","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Check_Point
Wix.com,Cloud & Developer Infrastructure,Public company,2006,No,No,"Website-building and web-dev SaaS platform (Nasdaq: WIX, ~$5.6B), 250M+ users. Large, young, English-first workforce in Tel Aviv with strong intern/graduate culture — an accessible, prestigious, non-defense host well-suited to a broad range of BFT participants.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",
Monday.com,Cloud & Developer Infrastructure,Public company,2012,No,No,"Work-management/workflow-automation platform (Nasdaq: MNDY, ~$7.4B). Fast-growing, English-speaking, US-connected (NYC presence). One of Israel's most recognizable SaaS employers — strong internship-host appeal across product, GTM, and engineering.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",
NICE Ltd,AI & Data Platforms,Public company,1986,No,No,"Enterprise software leader in customer-experience, analytics, and (historically) security/surveillance recording (Nasdaq: NICE, ~$7B). Large, mature multinational employer with significant US operations — a stable, well-structured internship host.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/NiCE
Amdocs,Cloud & Developer Infrastructure,Public company,1982,No,No,"Telecom/media software and services giant (Nasdaq: DOX), one of Israel's largest tech employers with tens of thousands of staff and a heavy US footprint. Mature graduate/intern pipelines make it a high-capacity placement host.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Amdocs
Tower Semiconductor,Semiconductors & DeepTech Hardware,Public company,1993,Yes,No,"Specialty analog semiconductor foundry (Nasdaq: TSEM, ~$13B). Strategically significant chip manufacturer with US fabs/partnerships — a strong host for participants interested in hardware/deep-tech and a dual-use-adjacent strategic sector.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Tower_Semiconductor
SolarEdge,"Industrial, Energy & Climate",Public company,2006,No,No,Solar inverter and energy-optimization technology leader (Nasdaq: SEDG). Established cleantech employer with global/US operations — a good host for participants oriented toward energy and climate infrastructure.,"Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/SolarEdge
Fiverr,General Technology,Public company,2010,No,No,"Freelance-services marketplace (NYSE: FVRR). Consumer-internet brand with English-first culture and US market focus — an approachable, well-known host for GTM/product/marketing interns.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Fiverr
JFrog,Cloud & Developer Infrastructure,Public company,2008,No,No,"DevOps/software-supply-chain platform (Nasdaq: FROG), the 'liquid software' company. Developer-tooling leader with US presence (Sunnyvale) — strong technical internship host.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://jfrog.com/
SentinelOne,Cybersecurity,Public company,2013,Yes,No,"FLAGGED 16 Jul 2026 -- categorisation check. Wikipedia describes SentinelOne as 'an American cybersecurity company' (HQ Mountain View, CA; NYSE: S), not an Israeli one. It is Israeli-FOUNDED (Tomer Weingarten, Almog Cohen) with major Israeli R&D. It sits in this Israeli Tech category on a founder/R&D basis rather than an HQ basis. That is defensible for BFT's purposes -- arguably these are the MOST relevant companies, since they are the Israeli-talent/American-distribution bridge itself -- but the category rule should be stated explicitly rather than left implicit. NEEDS ANDY'S CALL.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/SentinelOne
Cellebrite,Defense & National Security,Public company,1999,Yes,No,"Digital-intelligence and mobile-forensics leader (Nasdaq: CLBT) used by law enforcement and government agencies worldwide. Genuinely dual-use/strategic AND a public, structured employer — a rare host that's both mission-relevant and placement-friendly.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Cellebrite
Playtika,General Technology,Public company,2010,No,No,"Mobile-gaming powerhouse (Nasdaq: PLTK). Large consumer-tech employer with data/product depth — a good host for participants interested in gaming, monetization, and consumer analytics.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Playtika
Taboola,AI & Data Platforms,Public company,2007,No,No,"Content-discovery and advertising platform (Nasdaq: TBLA) with major NYC operations. Large adtech employer, US-connected — suitable host for data, GTM, and engineering placements.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Taboola
Global-e,General Technology,Public company,2013,No,No,"Cross-border e-commerce enablement platform (Nasdaq: GLBE). Fast-scaling, internationally-oriented employer — good host for participants focused on commerce, operations, and international business.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://www.global-e.com/
Lemonade,Fintech & Insurance,Public company,2015,No,No,"FLAGGED 16 Jul 2026 -- categorisation check. Wikipedia describes Lemonade as 'an American insurance company' (HQ New York; NYSE: LMND), not Israeli. Israeli-FOUNDED (Daniel Schreiber, Shai Wininger) with significant Israeli R&D. Same category question as SentinelOne: is this list Israeli-HQ or Israeli-FOUNDED? NEEDS ANDY'S CALL -- and note Lemonade is insurtech, not dual-use/defense, so it is the weakest strategic fit in this category.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Lemonade%2C_Inc.
Similarweb,AI & Data Platforms,Public company,2007,No,No,Digital-market-intelligence and web-analytics platform (NYSE: SMWB). Data-centric employer with US operations — strong host for participants interested in data analytics and market research.,"Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Similarweb
Nova Ltd,Semiconductors & DeepTech Hardware,Public company,1993,Yes,No,Semiconductor metrology and process-control leader (Nasdaq: NVMI). Strategically important chip-ecosystem supplier — good deep-tech host for engineering/physics-oriented participants.,"Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Nova_Ltd.
Lightricks,General Technology,Private startup,2013,No,No,"Creative-AI company (Facetune, Photoleap, LTX Studio) with a large global consumer base. Well-known Jerusalem-based employer with strong design/AI culture — accessible host for creative-technical participants. (Note: appears in open ecosystem coverage independently.)","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://en.wikipedia.org/wiki/Lightricks
Wiz,Cybersecurity,Acquired asset,2020,Yes,No,"CORRECTED 16 Jul 2026: no longer independent. ACQUIRED BY GOOGLE/ALPHABET, deal COMPLETED 11 Mar 2026 -- the largest acquisition in Google's history. Announced at $32B; Alphabet's SEC filing puts the final price at $29.5B after purchase-price adjustments. Israeli-American cloud security company, founded 2020; had turned down a $23B Google offer two years earlier. Now reported inside the Google Cloud segment. STRATEGIC READ: same thesis as CyberArk -- the Wiz founders and team are now a Google Cloud asset, making Google a B2B node.","Open-web research (Wikipedia List of Israeli companies on Nasdaq, public filings, company sites); flagged as BFT internship/fellowship host candidate",https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/wiz-acquisition/
