name,bftId,level,office,party,evidence,sourceUrl,source,links,handleSource,stance,votingRecord,redLineCheck,researchNotes,addedBy,related
Lloyd Doggett,pol-014e3219,National,"US Representative, TX-37 (Austin)",Democrat,"Surfaced by the 'posted positively about Joshua Baer' criterion -- publicly paid tribute to Baer (Jewish Zionist Capital Factory founder, d. 17 Jun 2026). Austin-area Democratic congressman who publicly honored Baer. WEAK SIGNAL, recorded honestly: honoring a locally beloved hometown tech figure is not an Israel position. Tracked as a possible cross-aisle/philosemitic-adjacent lead for the Texas ecosystem, not as a confirmed ally.",https://www.congress.gov/member/lloyd-doggett/D000399,"Yahoo/Statesman tribute coverage, Jul 2026",,,pro,MEASURED: 28/29 (96.6%) pro-Israel across 30 clean Israel roll calls. Voted NAY on H.R.8034 (2024) only.,NOT a red line -- 96.6% pro-Israel; the single NO is a spending vote.,Verify his actual Israel voting record before scoring up -- the Baer tribute alone is not evidence of an Israel stance.,Claude (proactive),Joshua Baer
Dan Crenshaw,pol-33d84842,National,"US Representative, TX-2",Republican,"Navy SEAL veteran (lost an eye in Afghanistan) and one of the more prominent House Republicans -- and a GLARING omission from this database until now. Consistent pro-Israel legislative record: voted to support Israel after the Oct 7 Hamas attack; cosponsored the United States-Israel Defense Partnership Act of 2025 (171 cosponsors), HR8369 Israel Security Assistance Support Act, HR6126 Israel Security Supplemental Appropriations Act 2024, HR6940 Israel Anti-Boycott Act, HR6196 Israel-Hamas War Crimes Deterrence and Accountability Act, and HR4076 US-Israel Health Technologies Cooperation Act. Has received ~$233K from AIPAC as of 2025. Texas-based, which ties to the Texas regional-ecosystem node.",,Wikipedia; crenshaw.house.gov; congress.gov/member/dan-crenshaw/C001120; govtrack.us/congress/members/dan_crenshaw/412820,"crenshaw.house.gov, congress.gov/member/dan-crenshaw/C001120, x.com/DanCrenshawTX; X (@DanCrenshawTX) 1.2M followers (browser-verified 17 Jul 2026)",,pro,"MEASURED: 21/21 = 100% pro-Israel. Voted YEA on every one of the 21 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,"High-value: a decorated veteran with national profile and a documented legislative record -- strong candidate for the hawkish/Rubio-wing coalition. Note he has drawn fire from the America-First/restraint wing, which per the Graham-Cruz-criticism criterion is a POSITIVE signal for us.",Andy,
Tom Cole,pol-522d6cb2,National,"US Representative, OK-4",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Tom+Cole; x.com/tom_cole,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Mario Diaz-Balart,pol-e2bcffe5,National,"US Representative, FL-26",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Mario+Diaz-Balart,,pro,"MEASURED: 28/28 = 100% pro-Israel. Voted YEA on every one of the 28 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
David P. Joyce,pol-6325523d,National,"US Representative, OH-14",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=David+P.+Joyce; x.com/davidjoyce,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 26/26 = 100% pro-Israel. Voted YEA on every one of the 26 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Erin Houchin,pol-38a99ba4,National,"US Representative, IN-9",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Erin+Houchin; x.com/erinhouchin,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,Claude (proactive),
Rudy Yakym,pol-cd6fc461,National,"US Representative, IN-2",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Rudy+Yakym; x.com/rudyyakym,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,Claude (proactive),
Tom McClintock,pol-44d93087,National,"US Representative, CA-5",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Tom+McClintock,,pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Claudia Tenney,pol-46c0e83c,National,"US Representative, NY-24",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Claudia+Tenney; x.com/claudiatenney,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 23/23 = 100% pro-Israel. Voted YEA on every one of the 23 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Robert B. Aderholt,pol-280d8adf,National,"US Representative, AL-4",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Robert+B.+Aderholt; x.com/robert_aderholt,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
John R. Moolenaar,pol-724a374e,National,"US Representative, MI-2",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=John+R.+Moolenaar; x.com/johnmoolenaar,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Jake Ellzey,pol-63d60420,National,"US Representative, TX-6",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Jake+Ellzey; x.com/jakeellzey,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 20/20 = 100% pro-Israel. Voted YEA on every one of the 20 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Charles J. 'Chuck' Fleischmann,pol-4f4b4ba0,National,"US Representative, TN-3",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Charles+J.+Chuck+Fleischmann,,pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Guy Reschenthaler,pol-a687bc0e,National,"US Representative, PA-14",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Guy+Reschenthaler; x.com/greschenthaler,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 22/22 = 100% pro-Israel. Voted YEA on every one of the 22 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Mariannette Miller-Meeks,pol-8110c46b,National,"US Representative, IA-1",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Mariannette+Miller-Meeks,,,,,,Claude (proactive),
Ryan K. Zinke,pol-b8640a9d,National,"US Representative, MT-1",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Ryan+K.+Zinke; x.com/ryanzinke,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,MEASURED: 20/22 (90.9%) pro-Israel across 30 clean Israel roll calls. Voted NAY on H.R.8034 (2024) only.,NOT a red line -- 90.9% pro-Israel; the single NO is a spending vote.,,Claude (proactive),
David G. Valadao,pol-328cda2e,National,"US Representative, CA-22",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=David+G.+Valadao; x.com/david_valadao,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 27/27 = 100% pro-Israel. Voted YEA on every one of the 27 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
John R. Carter,pol-1464e451,National,"US Representative, TX-31",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=John+R.+Carter; x.com/johncarter,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 28/28 = 100% pro-Israel. Voted YEA on every one of the 28 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Steve Womack,pol-32494044,National,"US Representative, AR-3",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Steve+Womack; x.com/stevewomack,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 30/30 = 100% pro-Israel. Voted YEA on every one of the 30 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Doug Lamborn,pol-c385c3b3,National,"US Representative, CO-5",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Doug+Lamborn; x.com/douglamborn,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 26/26 = 100% pro-Israel. Voted YEA on every one of the 26 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Tony Gonzales,pol-5820650b,National,"US Representative, TX-23",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Tony+Gonzales; x.com/tonygonzales,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,Claude (proactive),
Jefferson Van Drew,pol-27e32702,National,"US Representative, NJ-2",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Jefferson+Van+Drew; x.com/jeffersondrew,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 22/22 = 100% pro-Israel. Voted YEA on every one of the 22 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,Claude (proactive),
Tim Burchett,pol-afdef06f,National,"US Representative, TN-2",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Tim+Burchett; x.com/timburchett,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,MEASURED: 21/22 (95.5%) pro-Israel across 30 clean Israel roll calls. Voted NAY on H.R.8034 (2024) only.,NOT a red line -- 95.5% pro-Israel; the single NO is a spending vote.,,Claude (proactive),
Nicholas A. Langworthy,pol-b971a93a,National,"US Representative, NY-23",Republican,"EVIDENCE-BASED ADD (congressional voting record, not judgment): cosponsored 2 major pro-Israel bills -- HR6126 (Israel Security Supplemental Appropriations Act, 2024), HR8369 (Israel Security Assistance Support Act). ORIGINAL cosponsor on 2 of them. Sourced from the official Library of Congress API (api.congress.gov). This is hard, auditable evidence of the kind the Liberty Score methodology calls for -- a documented legislative act, not a vibe.",,"api.congress.gov (Library of Congress official API), pulled 14 Jul 2026",congress.gov/member?q=Nicholas+A.+Langworthy,,,,,,Claude (proactive),
