name,bftId,platform,audience,religion,ideology,stance,evidence,source,links,handleSource,network,allianceScore,related,researchNotes,podcastStatus,seedStage,baselineAudience,nationality,addedBy,audienceGeography,costPaid,costDate,costSource,talentEvidence,sourceUrl
Yossi Farro,inf-85b5133d,Chabad; LinkedIn/social (showcases Jewish business leaders),Jewish business-leader network,Jewish (Chabad),Jewish business-community media,pro,Per Andy: doing an excellent job showcasing influential Jewish business leaders -- making him a HIGH-YIELD GRAPH NODE for the B2B network rather than just an individual entry. Every leader he features is an add candidate per the B2B criteria.,User-submitted,x.com/farroyossi,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,68,,"HIGH-YIELD NODE: enumerate the Jewish business leaders he showcases and add each to the Business/B2B network per the new B2B inclusion criteria. Verify his own details (nationality, platform, reach).",,,,Unknown,Andy,,,,,,
Mark Pincus,inf-cdd45460,"Zynga (Founder), investor",Major tech-founder profile,Jewish,Tech entrepreneurship/investing,pro,"PROACTIVE ADD (Andy: 'you should know to have already done that right?' -- correct, this was a gap). Jewish American entrepreneur, founder of Zynga (FarmVille); prolific angel investor. Qualifies under the B2B criterion (Jewish founder/CEO). Silent-majority principle applies.",Public record; surfaced via Molly O'Shea coverage,x.com/markpincus,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,75,Molly O'Shea,,,,,American,Andy,,,,,,
Joe Teplow,inf-1da8d7b4,Founder/entrepreneur; LinkedIn,LinkedIn/startup audience,Unknown,Tech entrepreneurship,pro,"Andy-submitted with a supporting LinkedIn post (Hebrew-language, via Ofir Dor). Silent-majority principle applies -- business operators are not expected to post about Israel.",LinkedIn (user-supplied); user-submitted,linkedin.com/in/joeteplow; x.com/joeteplow,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,58,,VERIFY: the cited evidence post is in Hebrew and I could not read/confirm it. Andy to summarize what it establishes.,,,,Unknown,Andy,,,,,,
Molly O'Shea,inf-81e53be9,LinkedIn creator (founder interviews),Large LinkedIn founder audience,Unknown,Startup/founder media,neutral,"Per Andy: not overtly or publicly Zionist, BUT positive associational signals -- she gives friendly interviews to Alex Karp (Palantir CEO, the most publicly pro-Israel CEO in tech, already tracked), Art Levin of Brex (who publicly wrapped tefillin with a Jewish influencer), Israel Slodowitz (former IDF soldier), and Jewish entrepreneur Mark Pincus. Associational lean-pro per the circumstantial-signal rule; kept neutral pending her own stance.",LinkedIn (user-supplied posts); user-submitted,linkedin.com/in/mollysoshea; x.com/osheamolly,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,55,"Alex Karp, Mark Pincus, Art Levin, Israel Slodowitz",Associational only -- no personal stance found. Audit more of her interview roster; she is a useful yield node for Jewish/Israeli founders.,,,,Unknown,Andy,,,,,,
Art Levin,inf-77f31377,Brex,Fintech exec profile,Jewish (publicly wrapped tefillin),Fintech,pro,"Per Andy: Brex executive who publicly wrapped tefillin with a Jewish influencer -- a voluntary, public act of Jewish identity in a secular business setting. Surfaced via Molly O'Shea's interview roster.",User-submitted via Molly O'Shea coverage,x.com/artlevin,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,65,"Molly O'Shea, Brex",Verify exact role at Brex and the tefillin incident source.,,,,Unknown,Andy,,,,,,
Israel Slodowitz,inf-728be224,Founder/operator; LinkedIn,Startup audience,Jewish,Tech entrepreneurship,pro,Former IDF veteran soldier turned founder/operator; surfaced via Molly O'Shea's interview roster. Qualifies under the B2B criteria.,User-submitted via Molly O'Shea coverage,,,Business Leader,65,Molly O'Shea,"Verify company, role, nationality.",,,,Unknown,Andy,,,,,,
James Barlia,inf-0fa98099,Station DC (leader),DC startup-community network,Unknown,Startup ecosystem builder,pro,"FIRSTHAND (Andy, primary source): privately told Andy he is pro-Israel -- exactly the silent-majority pattern (a business/community leader who would never post it publicly). Leads Station DC, and is connected to Capital Factory in Austin, founded by the late Jewish Zionist Joshua Baer. Directly relevant to BFT's Winter DC Sprint.","Andy (firsthand, primary source)",linkedin.com/in/james-barlia,,Business Leader,72,"Station DC, Capital Factory, Joshua Baer","Warm, already-confirmed lead -- prioritize for the DC Sprint. Map Station DC's member companies as B2B candidates.",,,,American,Andy,,,,,,
Jason Calacanis,inf-751fc4ba,"All-In Podcast (co-host), LAUNCH (founder), angel investing",All-In is a top-5 business podcast,Jewish (Greek-American; Jewish wife/family ties -- verify),Tech investor / podcaster,pro,"Surfaced by the 'posted positively about Joshua Baer' criterion -- publicly paid tribute to Baer (Jewish Zionist Capital Factory founder, d. 17 Jun 2026). Prominent Silicon Valley angel investor and All-In Podcast co-host -- the single most influential business podcast in tech/political-adjacent circles. Qualifies for B2B evaluation under the new criteria (investor with likely Israeli-company exposure). Silent-majority principle applies.",Fortune/Yahoo tribute coverage; public record,x.com/Jason,,Business Leader,72,"Joshua Baer, Capital Factory, LAUNCH","Verify his religion/heritage claim and any explicit Israel record. All-In co-hosts (Sacks, Palihapitiya, Friedberg) are worth evaluating separately -- David Sacks especially (Jewish, pro-Israel, in government).",,,,American,Claude (proactive),US-dominant,,,,,
Bill Gurley,inf-1eb54c50,"Benchmark (former GP), investor, speaker",Legendary VC voice,Unknown,Venture capital,pro,"Surfaced by the 'posted positively about Joshua Baer' criterion -- publicly paid tribute to Baer (Jewish Zionist Capital Factory founder, d. 17 Jun 2026). One of the most respected VCs of his generation (Benchmark; early Uber). Austin-based -- ties directly to the Texas ecosystem node. Qualifies for B2B evaluation (investor; verify Israeli-company exposure).",Fortune/Yahoo tribute coverage; public record,x.com/bgurley,,Business Leader,65,"Joshua Baer, Capital Factory, Benchmark",Verify Benchmark's Israel exposure and any Gurley Israel-specific record. Austin-based = Texas ecosystem relevance.,,,,American,Claude (proactive),US-dominant,,,,,
Thom Singer,inf-d964b297,"Austin Technology Council (CEO), speaker/podcaster",Austin tech community,Unknown,Tech ecosystem leadership,pro,"Surfaced by the 'posted positively about Joshua Baer' criterion -- publicly paid tribute to Baer (Jewish Zionist Capital Factory founder, d. 17 Jun 2026). CEO of the Austin Technology Council (already named in our Texas ecosystem entry) -- said 'Nobody has built a company in the last 20 years without crossing paths with Joshua Baer.' A hub node for the entire Austin tech community and a warm path into the Texas ecosystem.",Yahoo/Statesman tribute coverage,x.com/thomsinger,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,62,"Joshua Baer, Austin Technology Council, Capital Factory",HIGH-YIELD: Austin Technology Council membership is a bounded roster of Texas tech companies -- direct B2B yield for the Texas ecosystem leg.,,,,American,Claude (proactive),US / Austin metro,,,,,
Scooter Braun,inf-21366cf6,"Music/entertainment industry (HYBE America CEO; founder, Ithaca Holdings)","Industry power, not a personal follower base",Jewish,Entertainment executive,pro,"MOVED 18 Jul 2026 from the Businesses (B2B) tab to the BUSINESS LEADER network, per Andy: business leaders are PEOPLE and must be distinguished from both companies and media influencers. He is a person, so he belongs with people.",Hollywood Reporter; Jerusalem Post,x.com/scooterbraun,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,82,"HYBE America, Ithaca Holdings",Map his artist/label relationships and philanthropy as B2B edges. High-value connector into music/entertainment.,,,,American,Andy,,"STRONG. After his Dec 2023 Tel Aviv speech calling for the return of the Oct 7 hostages -- invoking his Auschwitz-survivor grandmother, saying he 'had to come and stand with my people' -- BTS's global fanbase mounted a sustained campaign demanding HYBE fire him, including billboard trucks sent to HYBE's Seoul HQ. He held the position under enormous commercial pressure. Career-risking, unpaid, and public.",Dec 2023 onward (post-Oct-7),https://www.hollywoodreporter.com/music/music-news/bts-fans-army-hybe-fire-scooter-braun-pro-israel-views-1235840387/,Built and sold Ithaca Holdings to HYBE (~$1.05B); CEO of HYBE America and a HYBE board member. Elite operator and connector in an industry where pro-Israel voices are scarce and costly.,https://www.hollywoodreporter.com/music/music-news/bts-fans-army-hybe-fire-scooter-braun-pro-israel-views-1235840387/
Dr. Rabbi Ari Berman,inf-62065536,Yeshiva University (President); institutional,"Institutional -- university, donor and rabbinic networks",Jewish (Orthodox rabbi),Modern Orthodox; Jewish higher education,pro,"Andy-submitted as a STRONG CENTRAL NODE, and the description matches exactly what this project is short of: he leads partnerships across Jewish AND Christian organisations, including with Christian universities on AI, and is closely associated with the Tikvah Fund (already tracked here).",Andy-submitted,yu.edu,,Business Leader,84,"Yeshiva University, Tikvah Fund","HIGHEST-VALUE STRUCTURAL ADD IN THIS BATCH. He is a CONNECTOR, not a reach node -- his value is convening power across exactly the Jewish-Christian institutional seam that Johnnie's leg 2 ('integrate AND coordinate') depends on, and the Christian-university AI partnerships are a concrete, fundable instance of it. Map those partnerships by name: which Christian universities, which programmes, who runs them. That list is probably a better lead source than any influencer sweep.",,,,American,Andy,,,,,President of Yeshiva University; convenes across Jewish and Christian institutions.,https://www.yu.edu/
David Hatchwell,inf-37672b48,Business/philanthropy; Genesis Prize network,Institutional,Jewish,Jewish communal leadership,pro,Found in Andy's project-notes document ('David Hatchwell - genesis prize') -- absent from the database.,"Andy project-notes doc, 19 Jul 2026",,,Business Leader,76,The Genesis Prize Foundation,"Verify role and Genesis Prize connection. EUROPEAN Jewish leadership is almost entirely unmapped here -- and Johnnie's strategic-cities vision is explicitly global, so this is a thread into it.",,,,Spanish,Andy,,,,,Spanish-Jewish business leader and communal figure; Genesis Prize connection.,
John-Clark Levin,inf-6ebb82e3,Writing; AI research; Free Press connection,TBD -- verify,Unknown,AI research/journalism,neutral,"Found in Andy's project-notes document ('AI researcher John-Clark Levin - business leader, freepress connection').","Andy project-notes doc, 19 Jul 2026",,,Business Leader,55,The Free Press,"Verify identity and Israel record -- added on the Free Press-association signal, which is an outlet signal, not a personal one.",,,,American,Andy,,,,,AI researcher and writer with a Free Press connection.,
